Country,Port,USD per m3
Zambia,Dar Es Salaam,80
Zambia,Durban,67
Zambia,Maputo,85
D.R. Congo,Dar Es Salaam,80
D.R. Congo,Durban,67
D.R. Congo,Mombasa,80
D.R. Congo,Matadi,200
Mozambique,Dar Es Salaam,80
Mozambique,Durban,67
Mozambique,Maputo,85
Zimbabwe,Dar Es Salaam,80
Zimbabwe,Durban,67
Zimbabwe,Maputo,85
Uganda,Dar Es Salaam,80
Uganda,Mombasa,80
Tanzania,Dar Es Salaam,80
Tanzania,Mombasa,80
Malawi,Dar Es Salaam,80
Malawi,Durban,67
Burundi,Dar Es Salaam,80
Burundi,Mombasa,80
Lesotho,Durban,67
South Sudan,Mombasa,80
Botswana ,Durban,67
Kenya,Mombasa,80
South Africa,Durban,67
Djibouti,Djibouti,111
Ethiopia,Djibouti,111
Angola,Durban,67
Angola,Luanda,280
Benin,Cotonou,198
Cameroon,Douala,197
Gabon,Libreville,221
Ghana,Tema,208
Guinea,Conakry,198
Madagascar,Tamatave,181
Mali,Abidjan,201
Mali,Conakry,198
Mali,Douala,197
Namibia,Durban,67
Namibia,Walvis Bay,
Nigeria ,Lagos,213
Rwanda,Dar Es Salaam,80
Rwanda,Mombasa,80
Sierra Leone,Conakry,198
Sierra Leone,Free Town,
Sudan,Mombasa,80
Central African Republic,Mombasa,80
Central African Republic,Douala,197
Chad,Douala,197
Equatorial Guinea,Bata,
Gambia,Dakar,198
Liberia,Monrovia,
Republic of Guinea-Bissau,Conakry,198
Republic of Guinea-Bissau,Dakar,198
Republic of the Congo,Dar Es Salaam,80
Republic of the Congo,Mombasa,80
Swaziland,Durban,67
Swaziland,Maputo,85
Tunisia,Tunis,165
Anguilla,Philipsburg,176
Anguilla,Road Bay,
Anguilla,The valley,
Antigua and Barbuda,St. John's,174
Armenia,Poti,
Aruba,Aruba,173
Australia,Adelaide,101
Australia,Brisbane,100
Australia,Fremantle,111
Australia,Kembla,101
Australia,Melbourne,101
Azerbaijan,Poti,
Bahamas,Freeport,154
Bahamas,Nassau,145
Bahrain,Bahrain,66
Bangladesh,Chittagong,67
Bangladesh,Mongla,73
Barbados,Bridgetown,150
Belgium ,Antwerpen,86
Bermuda,Hamilton,
Bolivia,Iquique,
Bolivia,Iquique,
Bolivia,Iquique,
Bolivia,Iquique,
British Virgin Islands,Basseterre,160
Brunei Darussalam,Muara,
Cambodia,Sihanoukville,
Canada,Halifax,163
Canada,New Westminster,89
Canada,Vancouver,111
Cayman Islands,Georgetown/Cayman,163
Chile,Iquique,
Chile,Iquique,
Chile,Iquique,
Chile,Iquique,
Chile,Arica,
Chile,VALPARAISO,
Denmark,Fredericia,110
Dominican Republic,Santo Domingo,173
Egypt,Alexandria,104
Fiji,Lautoka,111
Fiji,Suva,140
Finland,hanko,117
France,Le Havre,83
Georgia,Batumi,
Georgia,Poti,
Germany,Bremerhaven,86
Greece,Piraeus,100
Greece,Thessaloniki,100
Grenada,ST. George,165
Guatemala,Quetzal,173
Guyana,Georgetown/Guyana,134
Haiti,Port-Au-Prince,173
Hong Kong,Hongkong,
Hong Kong,Hongkong,
India,Mumbai,137
Indonesia,Jakarta,78
Indonesia,Jakarta,89
Ireland,Dublin,118
Jamaica,Kingston,114
Jordan,Aqaba,120
Kazakhstan,Bishkek,
Kiribati,Tarawa,278
Korea,Busan,45
Korea,Kunsan,
Korea,Kwangyang,
Kyrgyzstan,Bishkek,
Lao PDR,Laemchabang,
Libya,Benghazi,
Libya,Misratah,
Luxembourg,Antwerpen,86
Malaysia,Port Kelang,
Malaysia,Port Kelang,
Malaysia,Tanjung Pelepas,
Malaysia,Tanjung Pelepas,
Maldives,Colombo,
Maldives,Male,
Malta,Valletta,
Marshall Islands,Majuro,148
Mauritius ,Port-Louis,86
Mauritius ,Port-Louis,89
Mauritius ,Port-Louis,100
